iteration,n_runs,filtered_accuracy_mean,filtered_accuracy_std,filtered_precision_mean,filtered_precision_std,filtered_recall_mean,filtered_recall_std,filtered_train_size_mean,filtered_train_size_std,filtered_kickout_mean,filtered_kickout_std,filtered_default_rate_mean,filtered_default_rate_std,oracle_accuracy_mean,oracle_accuracy_std,oracle_precision_mean,oracle_precision_std,oracle_recall_mean,oracle_recall_std,oracle_train_size_mean,oracle_train_size_std,oracle_kickout_mean,oracle_kickout_std,oracle_default_rate_mean,oracle_default_rate_std,parceling_accuracy_mean,parceling_accuracy_std,parceling_precision_mean,parceling_precision_std,parceling_recall_mean,parceling_recall_std,parceling_train_size_mean,parceling_train_size_std,parceling_kickout_mean,parceling_kickout_std,parceling_default_rate_mean,parceling_default_rate_std,fuzzy_augmentation_accuracy_mean,fuzzy_augmentation_accuracy_std,fuzzy_augmentation_precision_mean,fuzzy_augmentation_precision_std,fuzzy_augmentation_recall_mean,fuzzy_augmentation_recall_std,fuzzy_augmentation_train_size_mean,fuzzy_augmentation_train_size_std,fuzzy_augmentation_kickout_mean,fuzzy_augmentation_kickout_std,fuzzy_augmentation_default_rate_mean,fuzzy_augmentation_default_rate_std,simple_extrapolation_accuracy_mean,simple_extrapolation_accuracy_std,simple_extrapolation_precision_mean,simple_extrapolation_precision_std,simple_extrapolation_recall_mean,simple_extrapolation_recall_std,simple_extrapolation_train_size_mean,simple_extrapolation_train_size_std,simple_extrapolation_kickout_mean,simple_extrapolation_kickout_std,simple_extrapolation_default_rate_mean,simple_extrapolation_default_rate_std,shallow_self_learning_accuracy_mean,shallow_self_learning_accuracy_std,shallow_self_learning_precision_mean,shallow_self_learning_precision_std,shallow_self_learning_recall_mean,shallow_self_learning_recall_std,shallow_self_learning_train_size_mean,shallow_self_learning_train_size_std,shallow_self_learning_kickout_mean,shallow_self_learning_kickout_std,shallow_self_learning_default_rate_mean,shallow_self_learning_default_rate_std,twins_accuracy_mean,twins_accuracy_std,twins_precision_mean,twins_precision_std,twins_recall_mean,twins_recall_std,twins_train_size_mean,twins_train_size_std,twins_kickout_mean,twins_kickout_std,twins_default_rate_mean,twins_default_rate_std
0,5,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719,0.8114000000000001,0.010928860873851361,0.6061410212238073,0.05546206460503522,0.360820905800386,0.022573046669133227,5000.0,0.0,0.21228204244761448,0.11092412921007047,0.22011999999999995,0.005713982849116719
1,5,0.8173997864374872,0.00860366662099995,0.5904450621878249,0.05975671819081778,0.2934306887349455,0.01807422644914089,7171.8,8.059776671843954,0.18089012437564975,0.1195134363816356,0.20343271296873205,0.004571416095780515,0.8131999999999999,0.013580378001611985,0.6340029413787358,0.03780133646371437,0.37441779924432883,0.02720963092613658,7500.0,0.0,0.2680058827574714,0.07560267292742873,0.22258666666666665,0.0035373310717419526,0.7947999999999998,0.012546092795944257,0.4689612146529181,0.0335182731725796,0.21117120935362674,0.015270216254500892,7500.0,0.0,-0.06207757069416381,0.06703654634515918,0.20415999999999998,0.004356879617340826,0.8138666666666667,0.01200296259725534,0.6222403894072095,0.03049219249664645,0.3906335991733533,0.030018510332135328,7500.0,0.0,0.24448077881441885,0.06098438499329289,0.22373333333333334,0.00407310965015947,0.8298666666666665,0.013942102503647795,0.7100715762284493,0.04037714612407914,0.47625417303459655,0.03213031490795538,7500.0,0.0,0.42014315245689826,0.0807542922481583,0.23829333333333333,0.003940355313927921,0.821594690931178,0.010441555584331488,0.6243936561279678,0.038831009065294284,0.3203775574537495,0.024431754666367267,7228.2,6.9397406291589885,0.2487873122559357,0.0776620181305886,0.20583027087786773,0.0045614175231395325,0.8155999999999999,0.011112355485874447,0.6382543978441604,0.042720476773049396,0.38234899652039867,0.010482086552911267,7500.0,0.0,0.2765087956883206,0.08544095354609879,0.22304,0.005047261083443617
2,5,0.8227461741952551,0.00496767595707158,0.6268890936170368,0.02375167656730747,0.2644344302796121,0.00731924948699115,9339.4,30.961912085657758,0.25377818723407364,0.04750335313461496,0.19318299000908684,0.0027117317492628737,0.8172,0.006087692502089744,0.6670856822582094,0.014382009791076672,0.3806450995206497,0.027444954944820753,10000.0,0.0,0.33417136451641866,0.028764019582153313,0.22155999999999998,0.00212941306467299,0.7874000000000001,0.006740919818541107,0.45018519210477537,0.009641728716630564,0.19098929087024652,0.027076201895500532,10000.0,0.0,-0.09962961579044935,0.01928345743326112,0.20312000000000002,0.0025158696309626233,0.8148,0.004578209256903828,0.6417119542548506,0.02595563929214083,0.39396777181800113,0.009744340375488497,10000.0,0.0,0.28342390850970123,0.05191127858428166,0.22498,0.0024669008897805346,0.8409000000000001,0.007378346698278695,0.7644988918496715,0.019798029723703755,0.5293300673270229,0.022349667434643814,10000.0,0.0,0.5289977836993429,0.039596059447407496,0.24969999999999998,0.003864194612076365,0.8255521085363302,0.009297633585670442,0.6418308080808081,0.01449971487211676,0.2866572151029518,0.015403270075101649,9456.2,24.011663832396124,0.2836616161616162,0.02899942974423351,0.19663360554721812,0.0031953724938949485,0.8185,0.008740709353364871,0.6587922944433847,0.026611091041853965,0.3957149463691062,0.028932513161286776,10000.0,0.0,0.3175845888867693,0.053222182083707936,0.22440000000000002,0.0037910420730981054
3,5,0.8309950047922949,0.005561111528982883,0.6060626925638047,0.03572529939964712,0.2533673535382369,0.013049758016246768,11512.8,23.068593368473945,0.21212538512760948,0.07145059879929425,0.18732390107246485,0.0012088239910082062,0.8096,0.007572582122367493,0.6476143249124352,0.02387749819782808,0.381369091738585,0.018869740015327117,12500.0,0.0,0.2952286498248703,0.04775499639565611,0.22220800000000002,0.0012389414836867767,0.7934399999999999,0.010746832091365361,0.49709430143873323,0.03422893440555034,0.21024804129674202,0.052393327777640906,12500.0,0.0,-0.005811397122533477,0.06845786881110065,0.205152,0.003425868648970652,0.8167200000000001,0.010876470015588708,0.6627093121415888,0.02386619750357314,0.4008357987405072,0.025927020884578197,12500.0,0.0,0.32541862428317764,0.047732395007146294,0.226784,0.0012273157702889703,0.84376,0.006357861275617777,0.7787339405571038,0.02187736394896082,0.5542751021287001,0.008385530424556618,12500.0,0.0,0.5574678811142075,0.04375472789792161,0.257984,0.004079027335039564,0.8244875030706094,0.004919970192526224,0.6268294109236561,0.028811170981189044,0.2536086537039125,0.01908837951219813,11694.4,22.33024854317569,0.25365882184731225,0.057622341962378115,0.19183728818369256,0.0015739650145256577,0.8200799999999999,0.007860381670122627,0.679630509034076,0.020205111411219147,0.3988668873245492,0.023181639703933603,12500.0,0.0,0.3592610180681518,0.04041022282243834,0.22616,0.002719529371049338
4,5,0.8276960761453835,0.004224748496617337,0.6048702850789811,0.040453754301372345,0.21383742294447985,0.006777350936399287,13676.6,20.333224043422135,0.20974057015796221,0.08090750860274473,0.18275059142603642,0.0008976611878290811,0.8176666666666668,0.005932958789676525,0.6617607565960568,0.018867056409505173,0.38823335654842683,0.023344949835288363,15000.0,0.0,0.3235215131921136,0.03773411281901035,0.22178666666666666,0.0011511540103546366,0.7837333333333334,0.005026153819992214,0.4648448118580085,0.017853869176662214,0.18487599167214552,0.016359141338920493,15000.0,0.0,-0.07031037628398287,0.03570773835332445,0.20402666666666672,0.0024201377371270965,0.8128,0.00668530727291822,0.6544539076935502,0.024123286073609744,0.3973156227942455,0.009726930800989343,15000.0,0.0,0.3089078153871003,0.04824657214721953,0.22705333333333333,0.000953496489534995,0.8442666666666667,0.0015691469727919947,0.8040184917222521,0.015274709480182799,0.5575783988114351,0.010274711181725382,15000.0,0.0,0.6080369834445042,0.03054941896036557,0.26433333333333336,0.003007546065039288,0.8233412889361041,0.004491580858877695,0.6206586843988552,0.047369798547501056,0.22666093924434466,0.011664929704987377,13928.6,29.110822729699688,0.2413173687977103,0.09473959709500214,0.18790112355737038,0.0006368576348746086,0.8230000000000001,0.001966384160500348,0.7172416274271194,0.018550771003726114,0.4014191746159697,0.006954034424153861,15000.0,0.0,0.4344832548542388,0.03710154200745225,0.22717333333333337,0.0014976129154238916
5,5,0.8283305332121629,0.004027703619164237,0.5939405895572141,0.031792737222528074,0.1998801815997259,0.006349424783618417,15854.4,26.71778433927484,0.18788117911442803,0.06358547444505619,0.17948395131460843,0.0011979636810244085,0.819657142857143,0.004364607189469329,0.6410833096297756,0.01217631960293279,0.3865507602428383,0.018121063279099247,17500.0,0.0,0.2821666192595512,0.024352639205865598,0.22155428571428573,0.0016276789534518759,0.7957142857142857,0.005554920598635327,0.4853442037750953,0.015699914734862288,0.2142308741692966,0.009782635968418956,17500.0,0.0,-0.02931159244980938,0.03139982946972456,0.20281142857142856,0.0022915354446042414,0.8171428571428571,0.0070055371685837226,0.6489008565017206,0.019585684388016826,0.41532776448455333,0.01833466973007336,17500.0,0.0,0.29780171300344105,0.039171368776033645,0.22739428571428572,0.0014548890132296483,0.8514285714285714,0.00928637360296675,0.8118748792385319,0.01622888916803529,0.5871023973196509,0.032144258925319365,17500.0,0.0,0.6237497584770635,0.03245777833607062,0.26915428571428573,0.0032362033689028223,0.8316393682337748,0.00468062263228076,0.6096069679504204,0.02451246348230682,0.23368220478853824,0.02146091289822872,16171.6,32.43824902796081,0.21921393590084057,0.049024926964613684,0.18491772289244324,0.0009200551570913808,0.8295428571428571,0.003634752890009,0.7028403472482594,0.010954126501729182,0.4210803857959161,0.02465594007237411,17500.0,0.0,0.4056806944965188,0.021908253003458403,0.22781714285714286,0.0026778974390139617
6,5,0.8316706977688385,0.0053729202915579095,0.595483069955644,0.04969903430819366,0.18419125566934663,0.012865029275442445,18021.4,33.52968833735262,0.19096613991128816,0.09939806861638734,0.17640133645187797,0.0012086529865872895,0.81605,0.0032148094811356954,0.657923297918916,0.00995898021338208,0.37561130341028226,0.01685966412574895,20000.0,0.0,0.3158465958378319,0.019917960426764195,0.22093,0.001440347180370069,0.78935,0.0048749358970144345,0.45107638726333743,0.03495213414249061,0.19472458354948033,0.03155667442465937,20000.0,0.0,-0.09784722547332507,0.06990426828498122,0.20354999999999998,0.0019266551326067617,0.8183,0.001983683442487724,0.6525298779712347,0.01785391882457216,0.40946247311653555,0.020243849968420432,20000.0,0.0,0.3050597559424696,0.03570783764914436,0.22730999999999998,0.0013324413683160668,0.8547,0.006081529412902643,0.8277449204810731,0.01281848355921007,0.5883869219421299,0.02549538685224432,20000.0,0.0,0.6554898409621461,0.025636967118420156,0.27311,0.0033969692374232674,0.8318732710057027,0.001609055103084804,0.6239956164434343,0.018766552775785973,0.22306991616321875,0.015538687409089945,18413.6,41.4613072635198,0.24799123288686853,0.03753310555157196,0.18259376387647128,0.0009725355499380995,0.8285499999999999,0.004084727653100018,0.712732602049191,0.017841120581862477,0.4154393094096516,0.02541879307529691,20000.0,0.0,0.4254652040983822,0.035682241163724954,0.22844000000000003,0.0028038188243893376
7,5,0.8345130414915118,0.0027674891456940984,0.5701539799913006,0.032572182048909694,0.17821109281315128,0.020022923747960934,20168.4,50.847222146347384,0.14030795998260115,0.06514436409781942,0.1741639601125239,0.000722435429574483,0.8168444444444445,0.0030124023471698887,0.6525754184383291,0.013201474357488197,0.3755716342507439,0.009099757678747877,22500.0,0.0,0.3051508368766581,0.026402948714976397,0.22088888888888886,0.0012939364763921994,0.7928888888888889,0.005538640917217579,0.4719398909925743,0.039771683349648465,0.19088427912503025,0.03199180785237177,22500.0,0.0,-0.05612021801485136,0.0795433666992969,0.20259555555555558,0.003137865909999311,0.8200000000000001,0.005616554015795237,0.6661664600576287,0.017008515418172224,0.40810743576590724,0.021933841772355658,22500.0,0.0,0.3323329201152574,0.03401703083634447,0.2277688888888889,0.001775198128396294,0.8576444444444444,0.0029734628770982656,0.8392716660883769,0.006179546656129429,0.6016635103339586,0.016509550895565023,22500.0,0.0,0.6785433321767539,0.012359093312258816,0.2768711111111111,0.0036978846138412654,0.8359686987030088,0.005760759959042669,0.6225747653743221,0.01871153325553001,0.20440687794730197,0.016242721948865058,20644.8,55.08684053383349,0.24514953074864415,0.03742306651106001,0.1808406132814466,0.0006840870855065928,0.8287111111111111,0.005476594418044238,0.706244347767799,0.023653042771693125,0.41989135224775864,0.021309248657341726,22500.0,0.0,0.41248869553559786,0.04730608554338625,0.22936,0.00297340973162105
8,5,0.8357593908607133,0.005538586568057598,0.586711763510427,0.02689977745876134,0.16886960803990103,0.01675984600509421,22326.8,73.43949890896587,0.17342352702085412,0.05379955491752264,0.17295656078701882,0.0006306031792795674,0.8148399999999999,0.006205030217492896,0.6556076224051438,0.020861227700540854,0.36599251666175125,0.018153598223912507,25000.0,0.0,0.31121524481028756,0.04172245540108171,0.22136799999999995,0.0007067220104114482,0.79204,0.008958035498924963,0.48174667633741386,0.03373984876904661,0.20969493185274385,0.03239437272412218,25000.0,0.0,-0.03650664732517216,0.06747969753809319,0.20446399999999998,0.002822832619905052,0.8191200000000001,0.005032057233378792,0.6578331057831232,0.014874359804372444,0.4114331373945891,0.030673623311466013,25000.0,0.0,0.3156662115662465,0.02974871960874493,0.228672,0.0024651685540749545,0.86052,0.001982321870938205,0.8562800305254908,0.008969510627462565,0.6079154122399901,0.012945747976800771,25000.0,0.0,0.7125600610509817,0.01793902125492514,0.280264,0.0039001620479154502,0.8344351161473644,0.0055329324410434795,0.6115510474619631,0.03885056895773315,0.20600930143997234,0.022739888762192777,22883.8,65.56950510717616,0.22310209492392627,0.07770113791546632,0.18011832109285747,0.0004001718646239475,0.82828,0.0037959978925178736,0.7146193023393038,0.02383443284062594,0.41964316974269555,0.02671676563212829,25000.0,0.0,0.4292386046786076,0.04766886568125188,0.23057600000000003,0.0031844220825763656
9,5,0.8337260462702603,0.004775719185817531,0.5686794956300325,0.03405730229896745,0.15610688563698302,0.016524161905918985,24487.2,87.90995393014377,0.13735899126006498,0.06811460459793492,0.17185830495246696,0.00108521067691275,0.8162909090909091,0.003589884779108196,0.6489324639846605,0.015616906241635977,0.37575778033044555,0.007923362413528262,27500.0,0.0,0.29786492796932096,0.03123381248327193,0.2215272727272727,0.0005239393063077233,0.7913454545454546,0.003932656242791511,0.4896759169365805,0.02194932561712377,0.21590678778380085,0.007049695748968013,27500.0,0.0,-0.020648166126839066,0.043898651234247514,0.20480727272727273,0.0014997344117493306,0.8168,0.0065913542169438,0.6644572338728584,0.02076980502324822,0.4093282499023247,0.018365190126268114,27500.0,0.0,0.32891446774571675,0.04153961004649644,0.2293527272727273,0.002767117424862052,0.8612727272727273,0.0025009089256799034,0.861209944216727,0.011855809471263554,0.6129571829557845,0.013344972054056272,27500.0,0.0,0.7224198884334542,0.02371161894252712,0.2830909090909091,0.00382693369260604,0.8312245847242116,0.0036887020999847586,0.6064638108818402,0.03761130239799253,0.18682761617323615,0.01656000324829668,25127.8,67.69756273308516,0.21292762176368035,0.07522260479598498,0.17955282903508724,0.0007171438016857284,0.8296727272727272,0.0033730090546342357,0.7315888234682644,0.010976442001489561,0.4268587119591299,0.020663785293756523,27500.0,0.0,0.46317764693652874,0.02195288400297912,0.2314909090909091,0.0030838421886711567
