dataset,model,ranking_strategy,exploration_rate,iteration,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,kickout_mean,kickout_std,training_set_size_mean,training_set_size_std,training_default_rate_mean,training_default_rate_std,n_explored_mean,n_explored_std,n_explored_defaulted_mean,n_explored_defaulted_std,exploration_cost_mean,exploration_cost_std,cumulative_cost_mean,cumulative_cost_std,exploration_default_rate_mean,exploration_default_rate_std,reject_default_rate_mean,reject_default_rate_std,explored_risk_mean_mean,explored_risk_mean_std
lendingclub_imb77,rf,least_risky,0.0,0,0.7775666666666667,0.005286710277247573,0.5420361171326816,0.026564139283849538,0.057694965182330984,0.008786632759709732,0.08407223426536337,0.05312827856769912,60000.0,0.0,0.22374666666666668,0.001889789817825133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,1,0.7786502048736639,0.0027646286161959765,0.5264319470521424,0.025627900733867948,0.048403696615911394,0.0017698622389963137,0.052863894104284624,0.05125580146773585,81447.2,51.24158467495101,0.22159897731655276,0.0014519144549746934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,2,0.7813762799754269,0.0014637876844861577,0.5273733536750529,0.02355127304433921,0.04147581830417066,0.004139667381759558,0.05474670735010562,0.04710254608867846,102903.6,103.00631048629953,0.22032285204210286,0.0005755600367010145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,3,0.7808949385443313,0.0015921236673127075,0.5343475038505111,0.02003508908318234,0.04082073996503509,0.002182286384512017,0.06869500770102213,0.04007017816636467,124358.2,105.84044595521914,0.21983128203263239,0.0007317713334444356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,4,0.781689047238108,0.002678040541104454,0.5141669159578784,0.021440289195641518,0.0381151032508177,0.002526650053089974,0.028333831915756745,0.04288057839128298,145821.0,125.72986916401705,0.21922362513884536,0.0005045952766533457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,5,0.7833964895177437,0.001310228497221173,0.5315114868999085,0.008975090664094137,0.037264686793137866,0.001403416499211335,0.0630229737998169,0.017950181328188288,167279.8,143.6948154945046,0.21877479542981168,0.0005004802144009118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,6,0.7822020308519025,0.0018580703033015604,0.5163033061853175,0.02048690780835928,0.035034880604319266,0.002425243282550884,0.03260661237063509,0.04097381561671855,188742.6,159.10153990455422,0.2185230493081105,0.00044444364184361476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,7,0.7829329302480352,0.0009262170431515137,0.5286745774326166,0.01180291134282613,0.03492717622320531,0.0018683259299015211,0.05734915486523319,0.023605822685652207,210236.8,140.19165453050528,0.218570670312271,0.00030186213473682745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,8,0.7825906167644983,0.0005807821568238382,0.5211794587784927,0.014201185820865199,0.034581359683536886,0.0018687718528395407,0.04235891755698536,0.02840237164173037,231699.0,119.18892566006114,0.21856711316997718,0.000383530314135412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,9,0.7804116388645179,0.0010230212136694596,0.5187240251138582,0.010268432958812584,0.03426498412581501,0.0022665507572123315,0.03744805022771643,0.020536865917625227,253185.6,123.80751188841411,0.21864423540216285,0.0003587719453966604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.0,10,0.7822157219545339,0.0007333749946338715,0.5377959587301129,0.015495658424646527,0.03539922012236845,0.0026541965782063866,0.07559191746022569,0.030991316849293012,274646.0,126.83256679575636,0.2184768368475647,0.00012777882794448597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.01,0,0.7775666666666667,0.005286710277247573,0.5420361171326816,0.026564139283849538,0.057694965182330984,0.008786632759709732,0.08407223426536337,0.05312827856769912,60000.0,0.0,0.22374666666666668,0.001889789817825133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lendingclub_imb77,rf,least_risky,0.01,1,0.7772766411209717,0.0031658259893033685,0.5341934322880174,0.021328049780697033,0.04873296879761835,0.0038444400732904,0.06838686457603498,0.042656099561394094,81452.6,50.77696328060544,0.2216162063614206,0.0014558847887335001,5.4,0.5477225575051663,2.6,1.140175425099138,2.6,1.140175425099138,2.6,1.140175425099138,0.47333333333333333,0.18318175552045443,0.5178563983590835,0.011875919136699702,0.51,9.614813431917819e-17
lendingclub_imb77,rf,least_risky,0.01,2,0.7785501692141686,0.0011682018616526895,0.539008517469267,0.022383189128130615,0.042423479514482804,0.005054571158687142,0.07801703493853408,0.04476637825626118,102904.8,85.12755135677274,0.2202892699809252,0.000636040473351943,5.6,0.5477225575051663,3.6,1.51657508881031,3.6,1.51657508881031,6.2,2.588435821108957,0.6266666666666667,0.2178174567027272,0.5303089167533726,0.03085022168302591,0.51,7.850462293418876e-17
lendingclub_imb77,rf,least_risky,0.01,3,0.7795357507291796,0.002120486665764826,0.5336095064534166,0.029543377566913623,0.040186585339805556,0.0037734281985625806,0.06721901290683328,0.059086755133827294,124385.4,88.748521114439,0.21979765222070538,0.0008128819196055334,5.2,0.44721359549995804,3.0,1.0,3.0,1.0,9.2,1.6431676725154982,0.5733333333333334,0.17384539747207065,0.5573464823271135,0.009650222277503648,0.51,5.551115123125783e-17
lendingclub_imb77,rf,least_risky,0.01,4,0.7821464105027301,0.0007948540287541474,0.5265147520644463,0.03462764925932286,0.03821071862241587,0.002260183272102338,0.053029504128892624,0.06925529851864573,145852.2,127.09523987939397,0.21921510955645251,0.0005947285930154581,5.4,0.5477225575051663,2.2,1.7888543819998317,2.2,1.7888543819998317,11.4,2.3021728866442674,0.4066666666666666,0.2947692129257886,0.5390017876970206,0.02957214025221725,0.51,9.614813431917819e-17
