iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
6,0.0,least_risky,0.7936667504398089,0.5420560747663551,0.06987951807228916,0.08411214953271028,19892,0.21506133118841744,140,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
7,0.0,least_risky,0.787770586922562,0.5,0.06203995793901157,0.0,22403,0.21559612551890373,112,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
8,0.0,least_risky,0.7958199356913184,0.5555555555555556,0.06796116504854369,0.1111111111111111,24880,0.21639871382636655,146,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
9,0.0,least_risky,0.7912328767123288,0.5206611570247934,0.054878048780487805,0.04132231404958678,27374,0.2150946153284138,129,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
10,0.0,least_risky,0.7867068474803282,0.5234375,0.05234375,0.046875,29863,0.2154840438000201,134,0,0,0,0.0,0.0,0.0,0.0,2,ppdai_imb77,rf
0,0.0,least_risky,0.773,0.5405405405405406,0.08695652173913043,0.08108108108108109,5000,0.2296,0,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
1,0.0,least_risky,0.7627906976744186,0.38596491228070173,0.06395348837209303,-0.22807017543859648,7521,0.22643265523201703,102,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
2,0.0,least_risky,0.7744510978043913,0.47619047619047616,0.066815144766147,-0.047619047619047616,10018,0.22259932122180076,126,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
3,0.0,least_risky,0.7703349282296651,0.4025974025974026,0.05525846702317291,-0.19480519480519481,12540,0.22296650717703348,101,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
4,0.0,least_risky,0.7737857618097139,0.47619047619047616,0.05917159763313609,-0.047619047619047616,15028,0.221187117380889,135,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
5,0.0,least_risky,0.7875071306332002,0.5151515151515151,0.06818181818181818,0.030303030303030304,17528,0.22004792332268372,123,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
6,0.0,least_risky,0.782435129740519,0.4909090909090909,0.06206896551724138,-0.01818181818181818,20036,0.21920543022559394,115,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
7,0.0,least_risky,0.7824063815643696,0.48739495798319327,0.059244126659857,-0.025210084033613446,22561,0.21825273702406808,98,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
8,0.0,least_risky,0.7801715539597047,0.46405228758169936,0.06507791017415215,-0.0718954248366013,25061,0.2171102509875903,123,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
9,0.0,least_risky,0.7808020322990383,0.4626865671641791,0.05175292153589316,-0.07462686567164178,27553,0.2169636700177839,131,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
10,0.0,least_risky,0.7869861873855882,0.5526315789473685,0.048761609907120744,0.10526315789473684,30043,0.21662284059514694,133,0,0,0,0.0,0.0,0.0,0.0,3,ppdai_imb77,rf
0,0.0,least_risky,0.777,0.5384615384615384,0.12334801762114538,0.07692307692307693,5000,0.2324,0,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
1,0.0,least_risky,0.7781501340482574,0.5813953488372093,0.07396449704142012,0.16279069767441862,7459,0.22389060195736693,164,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
