ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.7827494714420433,0.164037473393751,0.0,0.21777618468885854
least_risky,0.01,0.7822523413794341,0.1662099167516974,28.2,0.21784245810051583
least_risky,0.02,0.7823997326594501,0.15338755769607929,52.0,0.2179268388305104
least_risky,0.05,0.7829609648744793,0.15858672813851163,135.0,0.21803916957487424
least_risky,0.1,0.7821375984789719,0.1461007712813599,259.4,0.21828889675897142
least_risky,0.15,0.7818241674421152,0.16120886990626215,396.2,0.21854494673424224
least_risky,0.2,0.7817916203335405,0.1408346404000544,534.2,0.21878206953461227
least_risky,0.3,0.7817450867874675,0.13967473743302172,808.6,0.21936145257957845
least_risky,0.5,0.7800129022973702,0.14147544115514843,1418.2,0.22050136684579327
least_risky,0.75,0.7799745354581606,0.12621258959698942,2236.4,0.22215160095630013
least_risky,1.0,0.7788494562106468,0.1524913785540582,3289.2,0.22413423010875788
most_risky,0.0,0.7827494714420433,0.164037473393751,0.0,0.21777618468885854
most_risky,0.01,0.7835076095681857,0.14443153573054296,38.4,0.217835390345761
most_risky,0.02,0.782357803713583,0.1732225124337706,68.0,0.21793598302970202
most_risky,0.05,0.7828685644083514,0.1761701229535407,171.6,0.21808899571577173
most_risky,0.1,0.7828870602868455,0.18766346203389814,339.0,0.2183919945230707
most_risky,0.15,0.782163942064155,0.18656403448075395,508.4,0.21868838899546444
most_risky,0.2,0.7815663052654823,0.17392396349241268,673.0,0.21900052035263956
most_risky,0.3,0.782393272520105,0.18871095637595733,1015.4,0.21966053126356613
most_risky,0.5,0.7821582350298633,0.19775364694668113,1670.0,0.2209672757610585
most_risky,0.75,0.780949177385485,0.188395332136448,2528.0,0.22265340315277485
most_risky,1.0,0.7785596737263881,0.15726877644239606,3288.8,0.22413423010875788
random,0.0,0.7827494714420433,0.164037473393751,0.0,0.21777618468885854
random,0.01,0.7844203605273236,0.1446673817534792,30.4,0.21779556288389954
random,0.02,0.7824079203323558,0.1416843902907617,59.2,0.2178943906030794
random,0.05,0.7830786009927234,0.17648487593689716,146.6,0.21804905049630663
random,0.1,0.7829747408671629,0.15756244549269535,301.6,0.21835979820768076
random,0.15,0.7817174790636623,0.19106624813894588,445.0,0.21857192784717833
random,0.2,0.7819091341003039,0.16158793806821478,608.6,0.2189055264915667
random,0.3,0.7820504268183599,0.1799967231908714,930.4,0.2194949696062416
random,0.5,0.7818862335819643,0.18347199723131,1541.4,0.22073975738300913
random,0.75,0.7805210752910725,0.15743220570789704,2403.4,0.22237729470456094
random,1.0,0.7794290211791643,0.15036534084503955,3299.6,0.22413423010875788
