ranking_strategy,exploration_rate,final_accuracy,final_kickout,cumulative_cost,final_training_default_rate
least_risky,0.0,0.7857914195828998,0.06870965081699933,0.0,0.21665350416652274
least_risky,0.01,0.7883874818700676,0.10233141098069294,8.2,0.2165196946908325
least_risky,0.02,0.7855613869866972,-0.03876777412225072,16.0,0.21681838263803016
least_risky,0.05,0.7870932929038263,0.04645035341686295,31.2,0.21730739335274846
least_risky,0.1,0.7861263099828002,0.05691948043153185,59.2,0.21775894335669493
least_risky,0.15,0.7850309168840786,0.08346130180655749,85.8,0.21833954282630627
least_risky,0.2,0.7835548524605807,0.06642060846583515,124.0,0.21882694520419813
least_risky,0.3,0.7840639368059142,0.013998567914446789,182.0,0.21999690492029478
least_risky,0.5,0.7835972628871885,0.0692249075924978,314.8,0.22216266467390028
least_risky,0.75,0.7810904947205735,0.10271262407813875,492.8,0.22573401173826194
least_risky,1.0,0.7837015690041627,0.1695205430145415,704.8,0.23000320204931154
most_risky,0.0,0.7857914195828998,0.06870965081699933,0.0,0.21665350416652274
most_risky,0.01,0.7904923374193968,0.12743293289033158,17.4,0.21721011000025697
most_risky,0.02,0.7891574142573676,0.10546844081160714,25.0,0.2173632291500034
most_risky,0.05,0.7867806230442824,0.0850479736959848,49.6,0.2178476501930559
most_risky,0.1,0.7865659986050761,0.10439815362764823,95.2,0.21877485526293655
most_risky,0.15,0.7868747960774114,0.08978178604583098,127.6,0.219359742091165
most_risky,0.2,0.7857919135343007,0.11043404418384528,168.8,0.22004114207458847
most_risky,0.3,0.7844527464625282,0.15468202263389444,241.4,0.22186764889319405
most_risky,0.5,0.7841677143182133,0.1944193070679688,380.4,0.22459144571019296
most_risky,0.75,0.7848822813998287,0.16294317448512524,544.6,0.22742308826154373
most_risky,1.0,0.7782580851745117,0.12497062426949608,716.4,0.23000320204931154
random,0.0,0.7857914195828998,0.06870965081699933,0.0,0.21665350416652274
random,0.01,0.7864769019888058,0.03688419430799703,10.4,0.21702170081756722
random,0.02,0.7901076861662866,0.06398879917831832,15.4,0.2169606976075586
random,0.05,0.7822358006878112,0.03721152531495571,38.0,0.2176559294165076
random,0.1,0.7853174089158645,0.0909470182891943,77.0,0.21793911564916685
random,0.15,0.7824003183786521,0.05423087890153759,109.2,0.21871337773660454
random,0.2,0.7910620869480478,0.12618785638958105,142.6,0.21935404441754852
random,0.3,0.783659693520587,0.1478136279499284,208.0,0.2207227347873509
random,0.5,0.7820157368837701,0.061119940650629034,353.8,0.22323781276680346
random,0.75,0.7830986650428129,0.1062317014142256,527.4,0.2266944207690996
random,1.0,0.7808517451168748,0.18971351533535558,689.6,0.23000320204931154
